station_code,longitude,value
54320,119.3,366
54321,119.71,275
54321,119.7167,91
54323,120.7833,91
54323,120.79,275
54324,120.43,275
54324,120.4333,91
54325,120.36,275
54325,120.3667,91
54326,119.6167,91
54326,119.62,275
54327,119.3833,91
54327,119.39,275
54328,119.7667,91
54328,119.77,275
54330,121.3333,91
54330,121.34,275
54331,121.75,91
54331,121.76,275
54332,122.7,366
54333,122.85,366
54334,121.24,275
54334,121.25,91
54335,122.0833,91
54335,122.09,275
54336,122.43,275
54336,122.4333,91
54337,121.1167,91
54337,121.12,275
54338,122.0333,91
54338,122.04,275
54339,123.0,366
54340,123.3167,91
54340,123.32,275
54342,123.51,273
54342,123.5167,91
54342,133.99,2
54345,123.0667,91
54345,123.07,275
54346,123.78,275
54346,123.7833,91
54347,123.18,275
54347,123.1833,91
54348,123.3667,91
54348,123.37,275
54349,124.13,275
54349,124.1333,91
54351,124.0667,91
54351,124.07,275
54353,125.0333,91
54353,125.04,275
54362,125.73,275
54362,125.7333,91
54363,125.9,366
54365,125.34,275
54365,125.35,91
54371,126.43,275
54371,126.4333,91
54374,126.88,275
54374,126.8833,91
54377,126.2167,91
54377,126.22,275
54386,128.18,275
54386,128.1833,91
54398,116.6167,91
54398,116.62,275
54399,116.28,275
54399,116.2833,91
54401,114.9167,91
54401,114.92,275
54404,115.83,275
54404,115.8333,91
54405,115.5,366
54406,115.9667,91
54406,115.97,275
54408,115.2167,91
54408,115.22,275
54410,116.13,275
54410,116.1333,91
54412,116.63,275
54412,116.6333,91
54416,116.8667,91
54416,116.87,275
54419,116.63,275
54419,116.6333,91
54420,117.33,275
54420,117.3333,91
54421,117.1167,91
54421,117.12,275
54423,117.9167,91
54423,117.92,275
54424,117.1167,91
54424,117.12,275
54425,117.4667,91
54425,117.47,275
54428,117.45,366
54429,117.95,366
54430,118.21,275
54430,118.2167,91
54431,116.75,366
54432,118.4667,91
54432,118.47,275
54433,116.5,366
54434,118.33,275
54434,118.3333,91
54436,118.95,366
54437,118.6167,91
54437,118.62,275
54438,118.88,275
54438,118.8833,91
54439,118.71,275
54439,118.7167,91
54449,119.5167,91
54449,119.52,275
54452,119.79,275
54452,119.8,91
54453,120.96,275
54453,120.9667,91
54454,120.3,91
54454,120.31,275
54455,120.65,366
54470,122.05,91
54470,122.06,275
54471,122.1667,91
54471,122.17,275
54472,122.75,366
54474,122.35,91
54474,122.36,275
54475,122.45,366
54476,122.15,366
54483,123.9,366
54486,123.28,275
54486,123.2833,91
54493,124.78,275
54493,124.7833,91
54494,124.05,366
54497,124.33,275
54497,124.3333,91
54499,116.2167,91
54499,116.22,275
54501,115.68,275
54501,115.6833,91
54502,116.03,275
54502,116.0333,91
54503,115.8167,91
54503,115.82,275
54505,116.15,366
54506,115.95,366
54507,115.5167,91
54507,115.52,275
54510,116.95,366
54511,116.4667,91
54511,116.47,275
54512,116.28,275
54512,116.2833,91
54513,116.2,91
54513,116.21,275
54514,116.25,366
54515,116.7,366
54518,116.39,275
54518,116.4,91
54519,116.48,275
54519,116.4833,91
54520,117.08,275
54520,117.0833,91
54521,116.9833,91
54521,116.99,275
54522,117.7333,91
54522,117.74,275
54523,117.06,275
54523,117.0667,91
54525,117.28,275
54525,117.2833,91
54526,117.3333,91
54526,117.34,275
54527,117.05,366
54528,117.1333,91
54528,117.14,275
54529,117.85,366
54530,117.78,275
54530,117.7833,91
54531,118.7167,91
54531,118.72,275
54532,118.08,275
54532,118.0833,91
54533,118.09,275
54533,118.1,91
54534,118.1,366
54535,118.4667,91
54535,118.47,275
54539,118.8833,91
54539,118.89,275
54540,119.2,366
54541,119.23,275
54541,119.2333,91
54563,122.01,275
54563,122.0167,91
54565,121.47,275
54568,121.75,91
54568,121.76,275
54569,121.94,275
54569,121.95,91
54575,122.3333,91
54575,122.34,275
54579,122.5833,91
54579,122.59,275
54584,122.95,366
54590,124.15,366
54594,116.35,366
54596,116.19,275
54596,116.2,91
54597,115.7333,91
54597,115.74,275
54601,115.64,275
54601,115.65,91
54602,115.48,275
54602,115.4833,91
54603,115.7667,91
54603,115.77,275
54604,115.29,275
54604,115.3,91
54605,115.88,275
54605,115.8833,91
54606,115.74,275
54606,115.75,91
54607,115.11,275
54607,115.1167,91
54608,115.55,366
54609,115.5833,91
54609,115.59,275
54610,116.1,366
54611,115.3167,91
54611,115.32,275
54612,116.45,91
54612,116.46,275
54613,116.6167,91
54613,116.62,275
54614,116.05,91
54614,116.06,275
54615,116.85,366
54616,116.85,366
54617,116.1667,91
54617,116.17,275
54618,116.55,366
54619,116.9167,91
54619,116.92,275
54620,115.5667,91
54620,115.57,275
54621,115.18,275
54621,115.1833,91
54622,117.4167,91
54622,117.42,275
54623,117.7167,91
54623,117.72,275
54624,117.3167,91
54624,117.32,275
